title,author/0,translator/0,o_title,o_language/0,wikidata,notes,links,volume,nybc_id,date,downloads,item_size,place/0,publisher/0,year,author/1,author/2,author/3,place/1,author/4,author/5,translator/1,o_language/1,place/2,publisher/1,o_language/2,translator/2,translator/3,translator/4
Gevezene mentshn,"Gorky, Maxim","Zaks, Sh.",Бывшие люди,Russian,Q19068247,,,,nybc206618,1929-01-01T00:00:00Z,165,43105062,Warsaw,Sh. Goldfarb,1929,,,,,,,,,,,,,,
Historisher materyalizm,"Gorter, Hermann","Maymun, H.",Het historisch materialisme. Voor arbeiders verklaard,Dutch,,,https://bibliothequedumarxisme.files.wordpress.com/2017/10/der-historische-materialismus.pdf,,nybc210637,1926-01-01T00:00:00Z,157,60859421,Warsaw,Arbeter heym,1926,,,,,,,,,,,,,,
"Yisroel un ""der nayer links"" zamlheft","Gothelf, Yehude",unknown,unknown,Hebrew,,anthology,,,nybc208058,1969-01-01T00:00:00Z,125,44347772,Tel-Aviv,Tsyonistishe arbet-bavegung,1969,others,,,,,,,,,,,,,
"Yisroel, gerangl un dergreykhungen","Gothelf, Yehude","Shenhod, Shlomo",unknown,Hebrew,,anthology,,,nybc203139,1967-01-01T00:00:00Z,132,87741763,Tel-Aviv,ha-Menorah,1967,others,,,,,,,,,,,,,
Sefer Emunah shelemah oyf Idish,"Gottesman, A. J.","Gottesman, A. J.",ספר אמונה שלמה,Hebrew,,Self translation,,,nybc206508,1945-01-01T00:00:00Z,210,29661099,New York,[o.fg.],1945,,,,,,,,,,,,,,
Di Yidishe geshikhte loyt profesor Grets un andere kvaln mit an hagdome fun Hilel Tsaytlin,"Graetz, Heinrich",unknown,Geschichte der Juden,German,,,,3,nybc206882,1949-01-01T00:00:00Z,199,91235432,Buenos Aires,Sh. Sigal,1949,,,,,,,,,,,,,,
Di Yidishe geshikhte loyt profesor Grets un andere kvaln mit an hagdome fun Hilel Tsaytlin,"Graetz, Heinrich",unknown,Geschichte der Juden,German,,,,2,nybc206881,1949-01-01T00:00:00Z,186,109143701,Buenos Aires,Sh. Sigal,1949,,,,,,,,,,,,,,
Di Yudishe geshikhte nay bearbeyt nokh Prof. Grets un andere kvelen,"Graetz, Heinrich","R—s, A.",Geschichte der Juden,German,,,,4,nybc201352,1912-01-01T00:00:00Z,147,202520597,Warsaw,B. Shimin,1912,,,,,,,,,,,,,,
Yidishe geshikhte fun eltste tsayten biz der gegenvart,"Graetz, Heinrich",unknown,Geschichte der Juden,German,,,,5,nybc203556,1931-01-01T00:00:00Z,180,133352166,Warsaw,B. Shimin,1931,,,,,,,,,,,,,,
Di Yidishe geshikhte loyt profesor Grets un andere kvaln mit an hagdome fun Hilel Tsaytlin,"Graetz, Heinrich",unknown,Geschichte der Juden,German,,,,5,nybc206884,1949-01-01T00:00:00Z,177,90733409,Buenos Aires,Sh. Sigal,1949,,,,,,,,,,,,,,
Yidishe geshikhte fun eltste tsayten biz der gegenvart,"Graetz, Heinrich",unknown,Geschichte der Juden,German,,,,7,nybc203558,1931-01-01T00:00:00Z,192,115958535,Warsaw,B. Shimin,1931,,,,,,,,,,,,,,
Di Yudishe folks-geshikhte nokh Der Folksthimlikher geshikhte der Yuden,"Graetz, Heinrich",unknown,Volkstümliche Geschichte der Juden,German,,,,3,nybc206888,1897-01-01T00:00:00Z,175,300140580,Warsaw,[o. fg.],1897,,,,,,,,,,,,,,
Di Yidishe geshikhte loyt profesor Grets un andere kvaln mit an hagdome fun Hilel Tsaytlin,"Graetz, Heinrich",unknown,Geschichte der Juden,German,,,,4,nybc206883,1949-01-01T00:00:00Z,167,94989599,Buenos Aires,Sh. Sigal,1949,,,,,,,,,,,,,,
Yidishe geshikhte fun eltste tsayten biz der gegenvart,"Graetz, Heinrich",unknown,Geschichte der Juden,German,,,,4,nybc203555,1931-01-01T00:00:00Z,161,116701938,Warsaw,B. Shimin,1931,,,,,,,,,,,,,,
Yidishe geshikhte fun eltste tsayten biz der gegenvart,"Graetz, Heinrich",unknown,Geschichte der Juden,German,,,,2,nybc203553,1931-01-01T00:00:00Z,174,120564085,Warsaw,B. Shimin,1931,,,,,,,,,,,,,,
Yidishe geshikhte fun eltste tsayten biz der gegenvart,"Graetz, Heinrich",unknown,Geschichte der Juden,German,,,,6,nybc203557,1931-01-01T00:00:00Z,163,129836674,Warsaw,B. Shimin,1931,,,,,,,,,,,,,,
Di Yidishe geshikhte loyt profesor Grets un andere kvaln mit an hagdome fun Hilel Tsaytlin,"Graetz, Heinrich",unknown,Geschichte der Juden,German,,,,6,nybc206885,1949-01-01T00:00:00Z,185,122513499,Buenos Aires,Sh. Sigal,1949,,,,,,,,,,,,,,
Yidishe geshikhte fun eltste tsayten biz der gegenvart,"Graetz, Heinrich",unknown,Geschichte der Juden,German,,,,3,nybc203554,1931-01-01T00:00:00Z,153,111331165,Warsaw,B. Shimin,1931,,,,,,,,,,,,,,
Di Yidishe geshikhte loyt profesor Grets un andere kvaln mit an hagdome fun Hilel Tsaytlin,"Graetz, Heinrich",unknown,Geschichte der Juden,German,,,,7,nybc206886,1949-01-01T00:00:00Z,189,69316751,Buenos Aires,Sh. Sigal,1949,,,,,,,,,,,,,,
Di Yidishe geshikhte loyt profesor Grets un andere kvaln mit an hagdome fun Hilel Tsaytlin,"Graetz, Heinrich",unknown,Geschichte der Juden,German,,,,1,nybc206880,1949-01-01T00:00:00Z,237,100952660,Buenos Aires,Sh. Sigal,1949,,,,,,,,,,,,,,
Di Yudishe folkstimlikhe-geshikhte fray iberzetst,"Graetz, Heinrich",unknown,Volkstümliche Geschichte der Juden,German,,,,2,nybc201245,2021-09-19T00:00:00Z,171,272513676,Warsaw,Brider Levin-Epshteyn,unknown,,,,,,,,,,,,,,
Di Yudishe folkstimlikhe-geshikhte fray iberzetst,"Graetz, Heinrich",unknown,Volkstümliche Geschichte der Juden,German,,,,1,nybc201244,2021-09-19T00:00:00Z,178,153494275,Warsaw,Brider Levin-Epshteyn,unknown,,,,,,,,,,,,,,
Yidishe geshikhte fun eltste tsayten biz der gegenvart,"Graetz, Heinrich",unknown,Geschichte der Juden,German,,,,1,nybc203552,1931-01-01T00:00:00Z,174,155541997,Warsaw,B. Shimin,1931,,,,,,,,,,,,,,
Di Yudishe folks-geshikhte nokh der folksthimlikher geshikhte der Yuden,"Graetz, Heinrich",unknown,Volkstümliche Geschichte der Juden,German,,,,4,nybc203533,2021-09-19T00:00:00Z,126,132311209,New York,Hibru Poblishing Kompani,unknown,,,,,,,,,,,,,,
Di Yudishe folks-geshikhte nokh der folksthimlikher geshikhte der Yuden,"Graetz, Heinrich",unknown,Volkstümliche Geschichte der Juden,German,,,,3,nybc207082,2021-09-19T00:00:00Z,148,120276169,New York,Hibru Poblishing Kompani,unknown,,,,,,,,,,,,,,
Di Yudishe folks-geshikhte nokh der folksthimlikher geshikhte der Yuden,"Graetz, Heinrich",unknown,Volkstümliche Geschichte der Juden,German,,,,1,nybc203531,2021-09-19T00:00:00Z,161,131883603,New York,Hibru Poblishing Kompani,unknown,,,,,,,,,,,,,,
Di Yudishe folks-geshikhte nokh der folksthimlikher geshikhte der Yuden,"Graetz, Heinrich",unknown,Volkstümliche Geschichte der Juden,German,,,,2,nybc203532,2021-09-19T00:00:00Z,132,128719239,New York,Hibru Poblishing Kompani,unknown,,,,,,,,,,,,,,
Yidishe geshikhte,"Graetz, Heinrich",unknown,Geschichte der Juden,,,,,3,nybc201236,2021-09-19T00:00:00Z,232,99452526,Warsaw,B. Shimin,unknown,,,,,,,,,,,,,,
Yidishe geshikhte,"Graetz, Heinrich",unknown,Geschichte der Juden,,,,,5,nybc201238,2021-09-19T00:00:00Z,224,117892131,Warsaw,B. Shimin,unknown,,,,,,,,,,,,,,
Yidishe geshikhte,"Graetz, Heinrich",unknown,Geschichte der Juden,,,,,1,nybc201234,2021-09-19T00:00:00Z,301,134588012,Warsaw,B. Shimin,unknown,,,,,,,,,,,,,,
Yidishe geshikhte,"Graetz, Heinrich",unknown,Geschichte der Juden,,,,,6,nybc201239,2021-09-19T00:00:00Z,286,114956396,Warsaw,B. Shimin,unknown,,,,,,,,,,,,,,
Yidishe geshikhte,"Graetz, Heinrich",unknown,Geschichte der Juden,,,,,4,nybc201237,2021-09-19T00:00:00Z,229,114353930,Warsaw,B. Shimin,unknown,,,,,,,,,,,,,,
Yidishe geshikhte,"Graetz, Heinrich",unknown,Geschichte der Juden,,,,,2,nybc201235,2021-09-19T00:00:00Z,228,120207292,Warsaw,B. Shimin,unknown,,,,,,,,,,,,,,
Yidishe geshikhte,"Graetz, Heinrich",unknown,Geschichte der Juden,,,,,7,nybc201240,2021-09-19T00:00:00Z,234,122862511,Warsaw,B. Shimin,unknown,,,,,,,,,,,,,,
Di Yudishe folks geshikhte nokh Der folksthumlikher geshikhte der Yuden,"Graetz, Heinrich",unknown,Volkstümliche Geschichte der Juden,German,,,,3,nybc207079,1901-01-01T00:00:00Z,135,127827315,New York,Sarasohn and Son,1901,,,,,,,,,,,,,,
Di Yudishe folks geshikhte nokh Der folksthumlikher geshikhte der Yuden,"Graetz, Heinrich",unknown,Volkstümliche Geschichte der Juden,German,,,,1,nybc203560,1901-01-01T00:00:00Z,165,88346943,New York,Sarasohn and Son,1901,,,,,,,,,,,,,,
Di Yudishe folks geshikhte nokh Der folksthumlikher geshikhte der Yuden,"Graetz, Heinrich",unknown,Volkstümliche Geschichte der Juden,German,,,,4,nybc207080,1901-01-01T00:00:00Z,145,120430544,New York,Sarasohn and Son,1901,,,,,,,,,,,,,,
Idishe folks-geshikhte,"Graetz, Heinrich","Shapiro, Yitskhak",Volkstümliche Geschichte der Juden,,,,,4,nybc204404,1914-01-01T00:00:00Z,169,176737242,Warsaw,Yehudiyah,1914,,,,,,,,,,,,,,
Idishe folks-geshikhte,"Graetz, Heinrich","Shapiro, Yitskhak",Volkstümliche Geschichte der Juden,,,,,2,nybc204402,1914-01-01T00:00:00Z,173,175318471,Warsaw,Yehudiyah,1914,,,,,,,,,,,,,,
Idishe folks-geshikhte,"Graetz, Heinrich","Shapiro, Yitskhak",Volkstümliche Geschichte der Juden,,,,,7,nybc204407,1914-01-01T00:00:00Z,159,211886858,Warsaw,Yehudiyah,1914,,,,,,,,,,,,,,
Idishe folks-geshikhte,"Graetz, Heinrich","Shapiro, Yitskhak",Volkstümliche Geschichte der Juden,,,,,6,nybc204406,1914-01-01T00:00:00Z,161,132680695,Warsaw,Yehudiyah,1914,,,,,,,,,,,,,,
Idishe folks-geshikhte,"Graetz, Heinrich","Shapiro, Yitskhak",Volkstümliche Geschichte der Juden,,,,,3,nybc204403,1914-01-01T00:00:00Z,169,169474945,Warsaw,Yehudiyah,1914,,,,,,,,,,,,,,
Idishe folks-geshikhte,"Graetz, Heinrich","Shapiro, Yitskhak",Volkstümliche Geschichte der Juden,,,,,1,nybc204401,1914-01-01T00:00:00Z,197,181997407,Warsaw,Yehudiyah,1914,,,,,,,,,,,,,,
Idishe folks-geshikhte,"Graetz, Heinrich","Shapiro, Yitskhak",Volkstümliche Geschichte der Juden,,,,,5,nybc204405,1914-01-01T00:00:00Z,181,200723328,Warsaw,Yehudiyah,1914,,,,,,,,,,,,,,
Yudishe geshikhte nay bearbeyt nokh Profesor Grets un andere kvelen,"Graetz, Heinrich","Karlinski, Ber",Geschichte der Juden,German,,,,3,nybc203544,1924-01-01T00:00:00Z,145,78008118,Warsaw,Ferlag B. Shimin,1924,,,,,,,,,,,,,,
Yudishe geshikhte nay bearbeyt nokh Profesor Grets un andere kvelen,"Graetz, Heinrich","Karlinski, Ber",Geschichte der Juden,German,,,,5,nybc203546,1924-01-01T00:00:00Z,135,76127336,Warsaw,Ferlag B. Shimin,1924,,,,,,,,,,,,,,
Yudishe geshikhte nay bearbeyt nokh Profesor Grets un andere kvelen,"Graetz, Heinrich","Leyzerovitsh, Y. A.",Geschichte der Juden,German,,,,2,nybc201250,1913-01-01T00:00:00Z,123,128156790,Warsaw,Ferlag B. Shimin,1913,,,,,,,"Karlinski, B",,,,,,,
Yudishe geshikhte nay bearbeyt nokh Profesor Grets un andere kvelen,"Graetz, Heinrich","Leyzerovitsh, Y. A.",Geschichte der Juden,German,,,,2,nybc203536,1913-01-01T00:00:00Z,134,83541549,Warsaw,Ferlag B. Shimin,1913,,,,,,,"Karlinski, B",,,,,,,
Yudishe geshikhte nay bearbeyt nokh Profesor Grets un andere kvelen,"Graetz, Heinrich","Riklis, A.",Geschichte der Juden,German,,,,6,nybc203547,1924-01-01T00:00:00Z,139,75197885,Warsaw,Ferlag B. Shimin,1924,,,,,,,,,,,,,,
Yudishe geshikhte nay bearbeyt nokh Profesor Grets un andere kvelen,"Graetz, Heinrich","Karlinski, Ber",Geschichte der Juden,German,,,,5,nybc201253,1913-01-01T00:00:00Z,141,100664722,Warsaw,Ferlag B. Shimin,1913,,,,,,,,,,,,,,
Yudishe geshikhte nay bearbeyt nokh Profesor Grets un andere kvelen,"Graetz, Heinrich","Karlinski, Ber",Geschichte der Juden,German,,,,4,nybc203538,1913-01-01T00:00:00Z,159,82050945,Warsaw,Ferlag B. Shimin,1913,,,,,,,,,,,,,,
Yudishe geshikhte nay bearbeyt nokh Profesor Grets un andere kvelen,"Graetz, Heinrich","Leyzerovitsh, Y. A.",Geschichte der Juden,German,,,,2,nybc203543,1924-01-01T00:00:00Z,137,107615540,Warsaw,Ferlag B. Shimin,1924,,,,,,,"Karlinski, B",,,,,,,
Yudishe geshikhte nay bearbeyt nokh Profesor Grets un andere kvelen,"Graetz, Heinrich","Riklis, A.",Geschichte der Juden,German,,,,6,nybc201254,1913-01-01T00:00:00Z,139,123781657,Warsaw,Ferlag B. Shimin,1913,,,,,,,,,,,,,,
Yudishe geshikhte nay bearbeyt nokh Profesor Grets un andere kvelen,"Graetz, Heinrich","Leyzerovitsh, Y. A.",Geschichte der Juden,German,,,,1,nybc201249,1913-01-01T00:00:00Z,177,115989998,Warsaw,Ferlag B. Shimin,1913,,,,,,,,,,,,,,
Yudishe geshikhte nay bearbeyt nokh Profesor Grets un andere kvelen,"Graetz, Heinrich","Leyzerovitsh, Y. A.",Geschichte der Juden,German,,,,1,nybc203535,1913-01-01T00:00:00Z,133,111648712,Warsaw,Ferlag B. Shimin,1913,,,,,,,,,,,,,,
Yudishe geshikhte nay bearbeyt nokh Profesor Grets un andere kvelen,"Graetz, Heinrich","Karlinski, Ber",Geschichte der Juden,German,,,,4,nybc203545,1924-01-01T00:00:00Z,144,111506331,Warsaw,Ferlag B. Shimin,1924,,,,,,,,,,,,,,
Yudishe geshikhte nay bearbeyt nokh Profesor Grets un andere kvelen,"Graetz, Heinrich","Riklis, A.",Geschichte der Juden,German,,,,6,nybc203540,1913-01-01T00:00:00Z,142,98251460,Warsaw,Ferlag B. Shimin,1913,,,,,,,,,,,,,,
Yudishe geshikhte nay bearbeyt nokh Profesor Grets un andere kvelen,"Graetz, Heinrich","Karlinski, Ber",Geschichte der Juden,German,,,,5,nybc203539,1913-01-01T00:00:00Z,127,98855381,Warsaw,Ferlag B. Shimin,1913,,,,,,,,,,,,,,
Yudishe geshikhte nay bearbeyt nokh Profesor Grets un andere kvelen,"Graetz, Heinrich","Leyzerovitsh, Y. A.",Geschichte der Juden,German,,,,1,nybc203542,1924-01-01T00:00:00Z,151,85274089,Warsaw,Ferlag B. Shimin,1924,,,,,,,,,,,,,,
Yudishe geshikhte nay bearbeyt nokh Profesor Grets un andere kvelen,"Graetz, Heinrich","Karlinski, Ber",Geschichte der Juden,German,,,,3,nybc203537,1913-01-01T00:00:00Z,129,89652316,Warsaw,Ferlag B. Shimin,1913,,,,,,,,,,,,,,
Yudishe geshikhte nay bearbeyt nokh Profesor Grets un andere kvelen,"Graetz, Heinrich","Riklis, A.",Geschichte der Juden,German,,,,7,nybc203548,1924-01-01T00:00:00Z,136,83588995,Warsaw,Ferlag B. Shimin,1924,,,,,,,,,,,,,,
Yudishe geshikhte nay bearbeyt nokh Profesor Grets un andere kvelen,"Graetz, Heinrich","Karlinski, Ber",Geschichte der Juden,German,,,,4,nybc201252,1913-01-01T00:00:00Z,127,105931998,Warsaw,Ferlag B. Shimin,1913,,,,,,,,,,,,,,
vegen materyalistishen farshteyn di geshikhte,"Graetz, Heinrich",unknown,Die materialistische Geschichtsauffassung,German,,,,,nybc211381,1922-01-01T00:00:00Z,119,13674737,Warsaw,Ferlag arbeyter heym,1922,,,,,,,,,,,,,,
Ot geyt a mentsh,"Granach, Alexander","Mestl, Yankev",Da geht ein Mensch,German,,,,,nybc206823,1948-01-01T00:00:00Z,203,124755175,New York,Ikuf,1948,,,,,,,,,,,,,,
Etyudn tsu der geshikhte funem proletaryat in F.S.S.R,"Grave, Berta","Itkovitsh, M.",Очерки истории пролетариата СССР,Russian,,,,,nybc211138,1933-01-01T00:00:00Z,122,212515801,Moscow,Emes,1933,"Netshkina, M","Arkady, Sidorov",,,,,,,,,,,,
Burzshuaze un frayhaytlikhe ertsihung,"Grave, Jean",unknown,Enseignement bourgeois et enseignement libertaire,French,,,,,nybc214847,,79,45566433,,Burzshuaze un frayhaytlikhe ertsihung,unknown,,,,,,,,,,,,,,
Oysgeklibene mayselekh,Brothers Grimm,Yashar,unknown,German,,anthology,,2,nybc212055,1922-01-01T00:00:00Z,403,30497170,Berlin,Yidisher kultur-farlag,1922,,,,,,,,,,,,,,
Rur in flamen,"Grünbeg, Karl","Koshevnik, Sh.",Brennender Ruhr,German,Q101199275,,,,rurinflamen00grin,1931-01-01T00:00:00Z,197,542025407,,Emes,1931,,,,,,,,,,,,,,
Di ekonomishe shiteh fun karl Marks,"Gross, Gustav","Rathoyzer, Y.",unknown,German,,,,,nybc212296,1907-01-01T00:00:00Z,105,71437575,Warsaw,Di Proletarishe velt,1907,,,,,,,,,,,,,,
Di finf Megiles,unknown,"Gross, Naftoli",unknown,Hebrew,,anthology,,,nybc209482,1936-01-01T00:00:00Z,250,29754472,New York,Aroysgegebn fun a komitet fun shrayber un kultur-toyer,1936,,,,,,,,,,,,,,
Tilim,unknown,"Gross, Naftoli",תהלים,Hebrew,Q41064,,,,nybc200747,1948-01-01T00:00:00Z,536,53209376,New York,Aroysgegebn fun a komitet fun shrayber un kultur-toyer,1948,,,,,,,,,,,,,,
Di obshtarbende gezelshaft un di anarkhye,"Grave, Jean","Rocker, Rudolf",La Société Mourante et l’Anarchie,French,Q61679770,,,,nybc206816,1908-01-01T00:00:00Z,277,77593509,London,Arbeyter fraynd,1908,,,,,,,,,,,,,,
Idishe kultur-geshikhte in mitlalter :,"Güdemann, Moritz","Shtif, Nokhem",Geschichte des Erziehungswesens und der Cultur der abendländischen Juden während des Mittelalters und der neueren Zeit,German,,,,,nybc206691a,,163,450191383,Berlin,Klal-farlag,unknown,,,,,,,,,,,,,,
Geshikhṭe di epokhe fun feodalizm ; lernbukh far der miṭlshul : 6-7 lernyor,"Gukovsky, Alexey","Levin, N.",Эпоха феодализма : учебник для 6-го и 7-го классов средней школы,Russian,,,,,nybc211039,1934-01-01T00:00:00Z,142,168561474,Moscow,Emes,1934,"Trachtenberg, Orest",,,,,,,,,,,,,
Funvanen shtamt der mentsh,"Gurev, Grigory",unknown,Откуда пошел род человеческий,Russian,,,,,nybc207784,1941-01-01T00:00:00Z,138,36238931,Moscow,Der emes,1941,,,,,,,,,,,,,,
vegn gleybn in Got a shmues mit di gleybike,"Gurev, Grigory",unknown,О вере в бога,Russian,,,,,nybc212015,1940-01-01T00:00:00Z,159,20345762,Moscow,Emes,1940,,,,,,,,,,,,,,
Yinglekh fun shtotishe gasn,"Górska, Halina","Taykhman, M.",Chłopcy z ulic miasta,Polish,,,"https://polona.pl/item/chlopcy-z-ulic-miasta,ODIzMDg1ODE/0/#info:metadata",,nybc209790,1935-01-01T00:00:00Z,118,83613393,,Kinderfraynd,1935,,,,,,,,,,,,,,
Sefer Torah ba-kharuzim khamishah khumshe Torah be-sefat Yehudit,unknown,"Gurwitz, Alexander Ziskind",תורה,Hebrew,Q34990,,,,nybc205028,1929-01-01T00:00:00Z,420,31398087,New York,Pardes,1929,,,,,,,,,,,,,,
Darvinizm un ateizm populere skitsn,"Gurev, Grigory","Levin, Sh.",Дарвинизъм и религия,Russian,,,,,nybc206689,1931-01-01T00:00:00Z,160,76887708,Warsaw,Yatshkovski,1931,,,,New York,,,,,,,,,,
Uriel Akosta,"Gutzkow, Karl","Morevski, Avraham, 1886",Uriel Acosta,German,Q56254763,,,,nybc211681,1920-01-01T00:00:00Z,119,153883024,Warsaw,Brider Levin-Epshteyn un shutfim,1920,,,,,,,,,,,,,,
Uriyel Akosta a tragediye in 5 akten,"Gutzkow, Karl","Lerner, Joseph Judah, 1849-1907",Uriel Acosta,German,Q56254763,,,,nybc207782,,155,25563501,Warsaw,Sh. Goldfarb,unknown,,,,,,,,,,,,,,
Di velt-retenishn populere shtudyes iber monistisher filozofye.,"Haeckel, Ernst","Bornshteyn, Elim",Die Welträtsel,German,Q1217493,,,,nybc201934,1929-01-01T00:00:00Z,159,124150132,Warsaw,Yatshkovski,1929,,,,New York,,,,,,,,,,
Yontev,"Hauff, Wilhelm","Zinger, Y. Y.",Kalif Storch,German,,,,,nybc213267,1929-01-01T00:00:00Z,226,4786218,Moscow,Tsentraler felker-farlag fun F.S.S.R.,1929,,,,,,,,,,,,,,
Der tentser,"Hollaender, Felix",unknown,Der Tänzer,German,,,,Der t?entser,nybc212609,1926-01-01T00:00:00Z,99,624425549,Warsaw,Kultur lige,1926,,,,,,,,,,,,,,
Tsum bayshpil Pleve,"Hamera, Bogdan","Guterman, I.",Na przykład Plewa,Polish,,,,,nybc207077,1952-01-01T00:00:00Z,115,87492578,Warsaw,Yidish bukh,1952,,,,,,,,,,,,,,
Di letste freyd,"Hamsun, Knut","Ivenitski, A.",Den siste Glæde,Norwegian,Q3045708,,,,nybc212012,1928-01-01T00:00:00Z,117,331693569,Vilne,B. Kletskin,1928,,,,,,,,,,,,,,
Viktorya,"Hamsun, Knut","Singer, Isaac Bashevis",Victoria,Norwegian,Q1636184,,,,nybc212693,1929-01-01T00:00:00Z,134,264790046,Vilne,B. Kletskin,1929,,,,,,,,,,,,,,
Pan,"Hamsun, Knut","Frumkin, A.",Pan,Norwegian,Q3356529,,,,nybc207061,1910-01-01T00:00:00Z,837,44455588,London,L. Fridman,1910,,,,,,,,,,,,,,
Hunger roman,"Hamsun, Knut","Frumkin, A.",Sult,Norwegian,Q1062365,,,,nybc203477,1909-01-01T00:00:00Z,259,65064710,London,L. Fridman,1909,,,,,,,,,,,,,,
Ertsehlungen,"Hamsun, Knut","Frumkin, A.",unknown,Norwegian,,anthology,,,nybc207066,1911-01-01T00:00:00Z,137,62941101,London,L. Fridman,1911,,,,,,,,,,,,,,
Shklafen fun liebe un andere ertsehlungen,"Hamsun, Knut","Frumkin, A.",unknown,Norwegian,,anthology,,,nybc207360,1906-01-01T00:00:00Z,154,11664885,London,Arbeyter fraynd,1906,,,,,,,,,,,,,,
Misteryen roman,"Hamsun, Knut","Frumkin, A.",Mysterier,Norwegian,Q1785854,,,,nybc207063,1911-01-01T00:00:00Z,253,123149328,London,L. Fridman,1911,,,,,,,,,,,,,,
Hunger roman,"Hamsun, Knut","Frumkin, A.",Sult,Norwegian,Q1062365,,,,nybc207065,1910-01-01T00:00:00Z,232,67224295,London,L. Fridman,1910,,,,,,,,,,,,,,
troymer,"Hamsun, Knut","Frumkin, A.",Sværmere,Norwegian,Q2104523,,,,nybc203485,1915-01-01T00:00:00Z,160,28451674,London,L. Fridman,1915,,,,,,,"Aleksandrovitsh, P",,,,,,,
Dos letste kapitl roman,"Hamsun, Knut","Halperin, F.",Siste Kapitel,Norwegian,Q2788392,,,,nybc207058,1928-01-01T00:00:00Z,167,166115204,Vilne,B. Kletskin,1928,,,,,,,,,,,,,,
Roza roman,"Hamsun, Knut","Halperin, F.",Rosa,Norwegian,Q2474006,,,,nybc212105,1928-01-01T00:00:00Z,192,69678121,Vilne,B. Kletskin,1928,,,,,,,,,,,,,,
Misteryen,"Hamsun, Knut","Mark, Aaron",Mysterier,Norwegian,Q1785854,,,,nybc207059,1928-01-01T00:00:00Z,167,98441227,Vilne,B. Kletskin,1928,,,,,,,,,,,,,,
Di shtot Zeglfos,"Hamsun, Knut","Mark, Aaron",Segelfoss By,Norwegian,Q13571595,,,,nybc207057,1928-01-01T00:00:00Z,165,109630295,Vilne,B. Kletskin,1928,,,,,,,,,,,,,,
vayber baym brunen roman,"Hamsun, Knut","Mayzil, Y.",Konerne ved Vandposten,Norwegian,Q2148788,,,,nybc201507,1928-01-01T00:00:00Z,192,167666110,Vilne,B. Kletskin,1928,,,,,,,,,,,,,,
Hunger roman,"Hamsun, Knut","Reisen, Miriam",Sult,Norwegian,Q1062365,,,,nybc207069,1929-01-01T00:00:00Z,300,50947191,Vilne,B. Kletskin,1929,,,,,,,,,,,,,,
Gzeyres Takh,"Hannover, Nathan","Latski-Bertholdi, Zev-Volf",יון מצולה,Hebrew,Q12407906,,,,nybc201618,1938-01-01T00:00:00Z,306,72179460,Vilne,"Yidisher ṿisnshafṭlekher insṭiṭuṭ, Hisṭorishe seḳtsye",1938,,,,,,,,,,,,,,
Der braver soldat Shveyk in der velt-milkhome,"Hašek, Jaroslav","Kalmanovitch, Zelig",Osudy dobrého vojáka Švejka za světové války,Czech,Q208622,,,,nybc210925,1928-01-01T00:00:00Z,529,60170407,Riga,Bikher far alemen,1928,,,,,,,,,,,,,,
Di mayse mit kalif bushl,"Hauff, Wilhelm","Lurye, Noyekh",Kalif Storch,German,Q1722225,,,,nybc212386,1923-01-01T00:00:00Z,111,56556491,Warsaw,Kultur lige,1923,,,,,,,,,,,,,,
Dos froyen-inzl,"Hauptman, Gerhart","Dzyalavski, M.",Die Insel der großen Mutter,German,Q28737608,,,,nybc207800,1927-01-01T00:00:00Z,184,83750268,Warsaw,Sh. Goldfarb,1927,,,,,,,,,,,,,,
Eynzame menshen drama in finf akten,"Hauptman, Gerhart","Frumkin, A.",Einsame Menschen,German,Q6028575,,,,nybc202994,1909-01-01T00:00:00Z,153,35131115,London,M. Zusman,1909,,,,,,,,,,,,,,
Urmensh un vilder a paralel tsvishn der farhistorisher tsayt un der itstiger,"Hauser, Otto","Kalmanovitch, Zelig",Urmensch und Wilder: Eine Parallele aus Urwelttagen und Gegenwart,German,,,,,nybc201231,1923-01-01T00:00:00Z,180,62017394,Berlin,Klal-farlag,1923,,,,,,,,,,,,,,
Di goldene barirung,"Hawthorne, Nathaniel","Halpern, L., 1894-1942",The Golden Touch,English,Q84562537,,,,nybc212846,1936-01-01T00:00:00Z,217,2934125,Warsaw,Kinderfraynd,1936,,,,,,,,,,,,,,
Sefer divre Torah ve-hu kitsur Shulkhan arukh be-lashon Ivri taytsh mesudar al Shabatot ha-shanah ..,"Karo, Joseph",unknown,שלחן ארוך,Hebrew,Q822206,Adaptation,,,nybc205205,1947-01-01T00:00:00Z,426,101054420,Landsberg,Defus keter,1947,,,,,,,,,,,,,,
Khinezishe legendn,"Hear, Lafcadio","Witt, Bernard",Some Chinese Ghosts,English,Q56634268,"Could be considered, ultimately, to be translations from Chinese.",,,khinezishelegend00hear,1930-01-01T00:00:00Z,181,244246764,,[o. fg.],1930,,,,,,,,,,,,,,
In heysn midber,"Hedin, Sven Anders","Sh—ra, Y.",unknown,Swedish,,,,,nybc201938,1922-01-01T00:00:00Z,148,55495229,Warsaw,B. Shimin,1922,,,,,,,,,,,,,,
Durkh barg un tol,"Hedin, Sven Anders","Sh—ra, Y.",unknown,Swedish,,,,,nybc201935,2021-09-19T00:00:00Z,141,40092805,Warsaw,B. Shimin,unknown,,,,,,,,,,,,,,
